2026-07-28T23:01:02.900569-07:00 nimo-1 rpc-server[3026215]: ggml_rocm_init: found 1 ROCm devices (Total VRAM: 126976 MiB):
2026-07-28T23:01:02.900569-07:00 nimo-1 rpc-server[3026215]:   Device 0: AMD Radeon 8060S Graphics, gfx1151 (0x1151), VMM: no, Wave Size: 32, VRAM: 126976 MiB
2026-07-28T23:01:02.901643-07:00 nimo-1 rpc-server[3026215]: !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
2026-07-28T23:01:02.901643-07:00 nimo-1 rpc-server[3026215]: WARNING: Host ('10.44.0.1') is != '127.0.0.1'
2026-07-28T23:01:02.901643-07:00 nimo-1 rpc-server[3026215]:          Never expose the RPC server to an open network!
2026-07-28T23:01:02.901643-07:00 nimo-1 rpc-server[3026215]:          This is an experimental feature and is not secure!
2026-07-28T23:01:02.901643-07:00 nimo-1 rpc-server[3026215]: !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
2026-07-28T23:01:02.901705-07:00 nimo-1 rpc-server[3026215]: ggml_backend_rocm_get_available_uma_memory: final available_memory_kb: 128463168
2026-07-28T23:01:03.322727-07:00 nimo-1 rpc-server[3026215]: Starting RPC server v4.0.1
2026-07-28T23:01:03.322727-07:00 nimo-1 rpc-server[3026215]:   endpoint       : 10.44.0.1:50248
2026-07-28T23:01:03.322727-07:00 nimo-1 rpc-server[3026215]:   local cache    : n/a
2026-07-28T23:01:03.322727-07:00 nimo-1 rpc-server[3026215]:   HaloFPX state  : enabled (canary)
2026-07-28T23:01:03.322727-07:00 nimo-1 rpc-server[3026215]: Devices:
2026-07-28T23:01:03.322727-07:00 nimo-1 rpc-server[3026215]:   ROCm0: AMD Radeon 8060S Graphics (126976 MiB, 125452 MiB free)
2026-07-28T23:01:03.322727-07:00 nimo-1 rpc-server[3026215]:   transport      : TCP
2026-07-28T23:01:03.322727-07:00 nimo-1 rpc-server[3026215]: Accepted client connection
2026-07-28T23:01:03.322837-07:00 nimo-1 rpc-server[3026215]: [hello] version: 4.0.1
2026-07-28T23:01:03.322982-07:00 nimo-1 rpc-server[3026215]: recv returned 0 (peer closed?)
2026-07-28T23:01:03.322982-07:00 nimo-1 rpc-server[3026215]: Client connection closed
2026-07-28T23:01:03.322982-07:00 nimo-1 rpc-server[3026215]: [~impl] closing socket 6
2026-07-28T23:01:03.557479-07:00 nimo-1 rpc-server[3026215]: Accepted client connection
2026-07-28T23:01:03.557479-07:00 nimo-1 rpc-server[3026215]: [hello] version: 4.0.1
2026-07-28T23:01:03.557585-07:00 nimo-1 rpc-server[3026215]: recv returned 0 (peer closed?)
2026-07-28T23:01:03.557585-07:00 nimo-1 rpc-server[3026215]: Client connection closed
2026-07-28T23:01:03.557585-07:00 nimo-1 rpc-server[3026215]: [~impl] closing socket 6
2026-07-28T23:01:03.558518-07:00 nimo-1 rpc-server[3026215]: Accepted client connection
2026-07-28T23:01:03.558518-07:00 nimo-1 rpc-server[3026215]: [hello] version: 4.0.1
2026-07-28T23:01:03.558604-07:00 nimo-1 rpc-server[3026215]: ggml_backend_rocm_get_available_uma_memory: final available_memory_kb: 128462596
2026-07-28T23:01:03.558604-07:00 nimo-1 rpc-server[3026215]: [get_device_memory] device: 0, free_mem: 131545698304, total_mem: 133143986176
2026-07-28T23:01:03.558637-07:00 nimo-1 rpc-server[3026215]: recv returned 0 (peer closed?)
2026-07-28T23:01:03.558637-07:00 nimo-1 rpc-server[3026215]: Client connection closed
2026-07-28T23:01:03.558637-07:00 nimo-1 rpc-server[3026215]: [~impl] closing socket 6
2026-07-28T23:01:05.806148-07:00 nimo-1 rpc-server[3026215]: Accepted client connection
2026-07-28T23:01:05.806389-07:00 nimo-1 rpc-server[3026215]: [hello] version: 4.0.1
2026-07-28T23:01:05.806389-07:00 nimo-1 rpc-server[3026215]: recv returned 0 (peer closed?)
2026-07-28T23:01:05.806389-07:00 nimo-1 rpc-server[3026215]: Client connection closed
2026-07-28T23:01:05.806389-07:00 nimo-1 rpc-server[3026215]: [~impl] closing socket 6
2026-07-28T23:01:05.855631-07:00 nimo-1 rpc-server[3026215]: Accepted client connection
2026-07-28T23:01:05.855631-07:00 nimo-1 rpc-server[3026215]: [hello] version: 4.0.1
2026-07-28T23:01:05.855777-07:00 nimo-1 rpc-server[3026215]: ggml_backend_rocm_get_available_uma_memory: final available_memory_kb: 128462804
2026-07-28T23:01:05.855777-07:00 nimo-1 rpc-server[3026215]: [get_device_memory] device: 0, free_mem: 131545911296, total_mem: 133143986176
2026-07-28T23:01:05.855988-07:00 nimo-1 rpc-server[3026215]: recv returned 0 (peer closed?)
2026-07-28T23:01:05.855988-07:00 nimo-1 rpc-server[3026215]: Client connection closed
2026-07-28T23:01:05.855988-07:00 nimo-1 rpc-server[3026215]: [~impl] closing socket 6
2026-07-28T23:01:05.969512-07:00 nimo-1 rpc-server[3026215]: Accepted client connection
2026-07-28T23:01:05.969512-07:00 nimo-1 rpc-server[3026215]: [hello] version: 4.0.1
2026-07-28T23:01:05.969755-07:00 nimo-1 rpc-server[3026215]: [get_alignment] device: 0, alignment: 128
2026-07-28T23:01:05.969816-07:00 nimo-1 rpc-server[3026215]: [get_max_size] device: 0, max_size: 18446744073709551615
2026-07-28T23:01:05.969843-07:00 nimo-1 rpc-server[3026215]: recv returned 0 (peer closed?)
2026-07-28T23:01:05.969843-07:00 nimo-1 rpc-server[3026215]: Client connection closed
2026-07-28T23:01:05.969864-07:00 nimo-1 rpc-server[3026215]: [~impl] closing socket 6
2026-07-28T23:01:08.964965-07:00 nimo-1 rpc-server[3026215]: Accepted client connection
2026-07-28T23:01:08.964965-07:00 nimo-1 rpc-server[3026215]: [hello] version: 4.0.1
2026-07-28T23:01:08.965119-07:00 nimo-1 rpc-server[3026215]: ggml_backend_rocm_get_available_uma_memory: final available_memory_kb: 128463012
2026-07-28T23:01:08.965119-07:00 nimo-1 rpc-server[3026215]: [get_device_memory] device: 0, free_mem: 131546124288, total_mem: 133143986176
2026-07-28T23:01:08.965119-07:00 nimo-1 rpc-server[3026215]: recv returned 0 (peer closed?)
2026-07-28T23:01:08.965119-07:00 nimo-1 rpc-server[3026215]: Client connection closed
2026-07-28T23:01:08.965119-07:00 nimo-1 rpc-server[3026215]: [~impl] closing socket 6
2026-07-28T23:01:08.965357-07:00 nimo-1 rpc-server[3026215]: Accepted client connection
2026-07-28T23:01:08.965357-07:00 nimo-1 rpc-server[3026215]: [hello] version: 4.0.1
2026-07-28T23:01:12.228738-07:00 nimo-1 rpc-server[3026215]: [alloc_buffer] device: 0, size: 80950550528 -> remote_ptr: 563427131a30, remote_size: 80950550528
2026-07-28T23:01:12.229050-07:00 nimo-1 rpc-server[3026215]: [buffer_get_base] remote_ptr: 563427131a30
2026-07-28T23:01:30.696731-07:00 nimo-1 rpc-server[3026215]: ggml_backend_rocm_get_available_uma_memory: final available_memory_kb: 49113108
2026-07-28T23:01:30.696731-07:00 nimo-1 rpc-server[3026215]: [get_device_memory] device: 0, free_mem: 50291822592, total_mem: 133143986176
2026-07-28T23:01:30.740659-07:00 nimo-1 rpc-server[3026215]: [set_tensor] buffer: 0x563427131a30, data: 0x7ee8dc000000, offset: 0, size: 19464192
2026-07-28T23:01:30.760059-07:00 nimo-1 rpc-server[3026215]: [set_tensor] buffer: 0x563427131a30, data: 0x7ee8dd290000, offset: 0, size: 3244032
2026-07-28T23:01:30.762705-07:00 nimo-1 rpc-server[3026215]: [set_tensor] buffer: 0x563427131a30, data: 0x7ee8dd5a8000, offset: 0, size: 3244032
2026-07-28T23:01:30.801078-07:00 nimo-1 rpc-server[3026215]: [set_tensor] buffer: 0x563427131a30, data: 0x7ee8dd8c0000, offset: 0, size: 19464192
2026-07-28T23:01:30.802249-07:00 nimo-1 rpc-server[3026215]: [set_tensor] buffer: 0x563427131a30, data: 0x7ee8deb50000, offset: 0, size: 12288
2026-07-28T23:01:30.802294-07:00 nimo-1 rpc-server[3026215]: [set_tensor] buffer: 0x563427131a30, data: 0x7ee8deb53000, offset: 0, size: 24576
2026-07-28T23:01:30.802454-07:00 nimo-1 rpc-server[3026215]: [set_tensor] buffer: 0x563427131a30, data: 0x7ee8deb59000, offset: 0, size: 4096
2026-07-28T23:01:30.802454-07:00 nimo-1 rpc-server[3026215]: [set_tensor] buffer: 0x563427131a30, data: 0x7ee8deb5a000, offset: 0, size: 12288
2026-07-28T23:01:30.803581-07:00 nimo-1 rpc-server[3026215]: [set_tensor] buffer: 0x563427131a30, data: 0x7ee8deb5d000, offset: 0, size: 2359296
2026-07-28T23:01:32.946834-07:00 nimo-1 rpc-server[3026215]: [set_tensor] buffer: 0x563427131a30, data: 0x7ee8ded9d000, offset: 0, size: 934281216
2026-07-28T23:01:35.032771-07:00 nimo-1 rpc-server[3026215]: [set_tensor] buffer: 0x563427131a30, data: 0x7ee91689d000, offset: 0, size: 934281216
2026-07-28T23:01:37.081972-07:00 nimo-1 rpc-server[3026215]: [set_tensor] buffer: 0x563427131a30, data: 0x7ee94e39d000, offset: 0, size: 934281216
2026-07-28T23:01:37.100192-07:00 nimo-1 rpc-server[3026215]: [set_tensor] buffer: 0x563427131a30, data: 0x7ee985e9d000, offset: 0, size: 768
2026-07-28T23:01:37.139021-07:00 nimo-1 rpc-server[3026215]: [set_tensor] buffer: 0x563427131a30, data: 0x7ee985e9d300, offset: 0, size: 19464192
2026-07-28T23:01:37.141711-07:00 nimo-1 rpc-server[3026215]: [set_tensor] buffer: 0x563427131a30, data: 0x7ee98712d300, offset: 0, size: 3244032
2026-07-28T23:01:37.144442-07:00 nimo-1 rpc-server[3026215]: [set_tensor] buffer: 0x563427131a30, data: 0x7ee987445300, offset: 0, size: 3244032
2026-07-28T23:01:37.178779-07:00 nimo-1 rpc-server[3026215]: [set_tensor] buffer: 0x563427131a30, data: 0x7ee98775d300, offset: 0, size: 19464192
2026-07-28T23:01:37.179590-07:00 nimo-1 rpc-server[3026215]: [set_tensor] buffer: 0x563427131a30, data: 0x7ee9889ed300, offset: 0, size: 12288
2026-07-28T23:01:37.179614-07:00 nimo-1 rpc-server[3026215]: [set_tensor] buffer: 0x563427131a30, data: 0x7ee9889f0300, offset: 0, size: 24576
2026-07-28T23:01:37.179614-07:00 nimo-1 rpc-server[3026215]: [set_tensor] buffer: 0x563427131a30, data: 0x7ee9889f6300, offset: 0, size: 4096
2026-07-28T23:01:37.179640-07:00 nimo-1 rpc-server[3026215]: [set_tensor] buffer: 0x563427131a30, data: 0x7ee9889f7300, offset: 0, size: 12288
2026-07-28T23:01:37.180782-07:00 nimo-1 rpc-server[3026215]: [set_tensor] buffer: 0x563427131a30, data: 0x7ee9889fa300, offset: 0, size: 2359296
2026-07-28T23:01:39.195796-07:00 nimo-1 rpc-server[3026215]: [set_tensor] buffer: 0x563427131a30, data: 0x7ee988c3a300, offset: 0, size: 934281216
2026-07-28T23:01:41.149311-07:00 nimo-1 rpc-server[3026215]: [set_tensor] buffer: 0x563427131a30, data: 0x7ee9c073a300, offset: 0, size: 934281216
2026-07-28T23:01:43.045330-07:00 nimo-1 rpc-server[3026215]: [set_tensor] buffer: 0x563427131a30, data: 0x7ee9f823a300, offset: 0, size: 934281216
2026-07-28T23:01:43.061609-07:00 nimo-1 rpc-server[3026215]: [set_tensor] buffer: 0x563427131a30, data: 0x7eea2fd3a300, offset: 0, size: 768
2026-07-28T23:01:43.086726-07:00 nimo-1 rpc-server[3026215]: [set_tensor] buffer: 0x563427131a30, data: 0x7eea2fd3a600, offset: 0, size: 19464192
2026-07-28T23:01:43.089405-07:00 nimo-1 rpc-server[3026215]: [set_tensor] buffer: 0x563427131a30, data: 0x7eea30fca600, offset: 0, size: 3244032
2026-07-28T23:01:43.092073-07:00 nimo-1 rpc-server[3026215]: [set_tensor] buffer: 0x563427131a30, data: 0x7eea312e2600, offset: 0, size: 3244032
2026-07-28T23:01:43.127509-07:00 nimo-1 rpc-server[3026215]: [set_tensor] buffer: 0x563427131a30, data: 0x7eea315fa600, offset: 0, size: 19464192
2026-07-28T23:01:43.128546-07:00 nimo-1 rpc-server[3026215]: [set_tensor] buffer: 0x563427131a30, data: 0x7eea3288a600, offset: 0, size: 12288
2026-07-28T23:01:43.128606-07:00 nimo-1 rpc-server[3026215]: [set_tensor] buffer: 0x563427131a30, data: 0x7eea3288d600, offset: 0, size: 24576
2026-07-28T23:01:43.128606-07:00 nimo-1 rpc-server[3026215]: [set_tensor] buffer: 0x563427131a30, data: 0x7eea32893600, offset: 0, size: 4096
2026-07-28T23:01:43.128606-07:00 nimo-1 rpc-server[3026215]: [set_tensor] buffer: 0x563427131a30, data: 0x7eea32894600, offset: 0, size: 12288
2026-07-28T23:01:43.129401-07:00 nimo-1 rpc-server[3026215]: [set_tensor] buffer: 0x563427131a30, data: 0x7eea32897600, offset: 0, size: 2359296
2026-07-28T23:01:45.029067-07:00 nimo-1 rpc-server[3026215]: [set_tensor] buffer: 0x563427131a30, data: 0x7eea32ad7600, offset: 0, size: 934281216
2026-07-28T23:01:46.900948-07:00 nimo-1 rpc-server[3026215]: [set_tensor] buffer: 0x563427131a30, data: 0x7eea6a5d7600, offset: 0, size: 934281216
2026-07-28T23:01:48.779123-07:00 nimo-1 rpc-server[3026215]: [set_tensor] buffer: 0x563427131a30, data: 0x7eeaa20d7600, offset: 0, size: 934281216
2026-07-28T23:01:48.795427-07:00 nimo-1 rpc-server[3026215]: [set_tensor] buffer: 0x563427131a30, data: 0x7eead9bd7600, offset: 0, size: 768
2026-07-28T23:01:48.818720-07:00 nimo-1 rpc-server[3026215]: [set_tensor] buffer: 0x563427131a30, data: 0x7eead9bd7900, offset: 0, size: 19464192
2026-07-28T23:01:48.821253-07:00 nimo-1 rpc-server[3026215]: [set_tensor] buffer: 0x563427131a30, data: 0x7eeadae67900, offset: 0, size: 3244032
2026-07-28T23:01:48.823812-07:00 nimo-1 rpc-server[3026215]: [set_tensor] buffer: 0x563427131a30, data: 0x7eeadb17f900, offset: 0, size: 3244032
2026-07-28T23:01:48.858588-07:00 nimo-1 rpc-server[3026215]: [set_tensor] buffer: 0x563427131a30, data: 0x7eeadb497900, offset: 0, size: 19464192
