2026-07-28T08:40:24.488535-07:00 nimo-1 rpc-server[2723756]: ggml_rocm_init: found 1 ROCm devices (Total VRAM: 126976 MiB):
2026-07-28T08:40:24.488535-07:00 nimo-1 rpc-server[2723756]:   Device 0: AMD Radeon 8060S Graphics, gfx1151 (0x1151), VMM: no, Wave Size: 32, VRAM: 126976 MiB
2026-07-28T08:40:24.489678-07:00 nimo-1 rpc-server[2723756]: !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
2026-07-28T08:40:24.489678-07:00 nimo-1 rpc-server[2723756]: WARNING: Host ('10.44.0.1') is != '127.0.0.1'
2026-07-28T08:40:24.489678-07:00 nimo-1 rpc-server[2723756]:          Never expose the RPC server to an open network!
2026-07-28T08:40:24.489678-07:00 nimo-1 rpc-server[2723756]:          This is an experimental feature and is not secure!
2026-07-28T08:40:24.489678-07:00 nimo-1 rpc-server[2723756]: !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
2026-07-28T08:40:24.489740-07:00 nimo-1 rpc-server[2723756]: ggml_backend_rocm_get_available_uma_memory: final available_memory_kb: 128313192
2026-07-28T08:40:24.879108-07:00 nimo-1 rpc-server[2723756]: Starting RPC server v4.0.1
2026-07-28T08:40:24.879108-07:00 nimo-1 rpc-server[2723756]:   endpoint       : 10.44.0.1:50248
2026-07-28T08:40:24.879108-07:00 nimo-1 rpc-server[2723756]:   local cache    : n/a
2026-07-28T08:40:24.879108-07:00 nimo-1 rpc-server[2723756]:   HaloFPX state  : enabled (canary)
2026-07-28T08:40:24.879108-07:00 nimo-1 rpc-server[2723756]: Devices:
2026-07-28T08:40:24.879108-07:00 nimo-1 rpc-server[2723756]:   ROCm0: AMD Radeon 8060S Graphics (126976 MiB, 125305 MiB free)
2026-07-28T08:40:24.879108-07:00 nimo-1 rpc-server[2723756]:   transport      : TCP
2026-07-28T08:40:24.879108-07:00 nimo-1 rpc-server[2723756]: Accepted client connection
2026-07-28T08:40:24.879108-07:00 nimo-1 rpc-server[2723756]: [hello] version: 4.0.1
2026-07-28T08:40:24.879404-07:00 nimo-1 rpc-server[2723756]: recv returned 0 (peer closed?)
2026-07-28T08:40:24.879404-07:00 nimo-1 rpc-server[2723756]: Client connection closed
2026-07-28T08:40:24.879404-07:00 nimo-1 rpc-server[2723756]: [~impl] closing socket 6
2026-07-28T08:40:25.126252-07:00 nimo-1 rpc-server[2723756]: Accepted client connection
2026-07-28T08:40:25.126252-07:00 nimo-1 rpc-server[2723756]: [hello] version: 4.0.1
2026-07-28T08:40:25.126659-07:00 nimo-1 rpc-server[2723756]: recv returned 0 (peer closed?)
2026-07-28T08:40:25.126659-07:00 nimo-1 rpc-server[2723756]: Client connection closed
2026-07-28T08:40:25.126659-07:00 nimo-1 rpc-server[2723756]: [~impl] closing socket 6
2026-07-28T08:40:25.127951-07:00 nimo-1 rpc-server[2723756]: Accepted client connection
2026-07-28T08:40:25.127951-07:00 nimo-1 rpc-server[2723756]: [hello] version: 4.0.1
2026-07-28T08:40:25.128225-07:00 nimo-1 rpc-server[2723756]: ggml_backend_rocm_get_available_uma_memory: final available_memory_kb: 128312120
2026-07-28T08:40:25.128225-07:00 nimo-1 rpc-server[2723756]: [get_device_memory] device: 0, free_mem: 131391610880, total_mem: 133143986176
2026-07-28T08:40:25.128425-07:00 nimo-1 rpc-server[2723756]: recv returned 0 (peer closed?)
2026-07-28T08:40:25.128425-07:00 nimo-1 rpc-server[2723756]: Client connection closed
2026-07-28T08:40:25.128425-07:00 nimo-1 rpc-server[2723756]: [~impl] closing socket 6
2026-07-28T08:40:27.342815-07:00 nimo-1 rpc-server[2723756]: Accepted client connection
2026-07-28T08:40:27.343038-07:00 nimo-1 rpc-server[2723756]: [hello] version: 4.0.1
2026-07-28T08:40:27.343038-07:00 nimo-1 rpc-server[2723756]: recv returned 0 (peer closed?)
2026-07-28T08:40:27.343038-07:00 nimo-1 rpc-server[2723756]: Client connection closed
2026-07-28T08:40:27.343038-07:00 nimo-1 rpc-server[2723756]: [~impl] closing socket 6
2026-07-28T08:40:27.391167-07:00 nimo-1 rpc-server[2723756]: Accepted client connection
2026-07-28T08:40:27.391167-07:00 nimo-1 rpc-server[2723756]: [hello] version: 4.0.1
2026-07-28T08:40:27.391321-07:00 nimo-1 rpc-server[2723756]: ggml_backend_rocm_get_available_uma_memory: final available_memory_kb: 128308192
2026-07-28T08:40:27.391321-07:00 nimo-1 rpc-server[2723756]: [get_device_memory] device: 0, free_mem: 131387588608, total_mem: 133143986176
2026-07-28T08:40:27.391537-07:00 nimo-1 rpc-server[2723756]: recv returned 0 (peer closed?)
2026-07-28T08:40:27.391537-07:00 nimo-1 rpc-server[2723756]: Client connection closed
2026-07-28T08:40:27.391537-07:00 nimo-1 rpc-server[2723756]: [~impl] closing socket 6
2026-07-28T08:40:27.517836-07:00 nimo-1 rpc-server[2723756]: Accepted client connection
2026-07-28T08:40:27.517836-07:00 nimo-1 rpc-server[2723756]: [hello] version: 4.0.1
2026-07-28T08:40:27.518070-07:00 nimo-1 rpc-server[2723756]: [get_alignment] device: 0, alignment: 128
2026-07-28T08:40:27.518131-07:00 nimo-1 rpc-server[2723756]: [get_max_size] device: 0, max_size: 18446744073709551615
2026-07-28T08:40:27.518157-07:00 nimo-1 rpc-server[2723756]: recv returned 0 (peer closed?)
2026-07-28T08:40:27.518157-07:00 nimo-1 rpc-server[2723756]: Client connection closed
2026-07-28T08:40:27.518157-07:00 nimo-1 rpc-server[2723756]: [~impl] closing socket 6
2026-07-28T08:40:34.827031-07:00 nimo-1 rpc-server[2723756]: Accepted client connection
2026-07-28T08:40:34.827031-07:00 nimo-1 rpc-server[2723756]: [hello] version: 4.0.1
2026-07-28T08:40:34.827199-07:00 nimo-1 rpc-server[2723756]: ggml_backend_rocm_get_available_uma_memory: final available_memory_kb: 128316348
2026-07-28T08:40:34.827199-07:00 nimo-1 rpc-server[2723756]: [get_device_memory] device: 0, free_mem: 131395940352, total_mem: 133143986176
2026-07-28T08:40:34.827199-07:00 nimo-1 rpc-server[2723756]: recv returned 0 (peer closed?)
2026-07-28T08:40:34.827199-07:00 nimo-1 rpc-server[2723756]: Client connection closed
2026-07-28T08:40:34.827199-07:00 nimo-1 rpc-server[2723756]: [~impl] closing socket 6
2026-07-28T08:40:34.827434-07:00 nimo-1 rpc-server[2723756]: Accepted client connection
2026-07-28T08:40:34.827434-07:00 nimo-1 rpc-server[2723756]: [hello] version: 4.0.1
2026-07-28T08:40:38.098976-07:00 nimo-1 rpc-server[2723756]: [alloc_buffer] device: 0, size: 80950550528 -> remote_ptr: 55c715572a40, remote_size: 80950550528
2026-07-28T08:40:38.099291-07:00 nimo-1 rpc-server[2723756]: [buffer_get_base] remote_ptr: 55c715572a40
2026-07-28T08:40:56.882191-07:00 nimo-1 rpc-server[2723756]: ggml_backend_rocm_get_available_uma_memory: final available_memory_kb: 48965656
2026-07-28T08:40:56.882191-07:00 nimo-1 rpc-server[2723756]: [get_device_memory] device: 0, free_mem: 50140831744, total_mem: 133143986176
2026-07-28T08:40:56.925918-07:00 nimo-1 rpc-server[2723756]: [set_tensor] buffer: 0x55c715572a40, data: 0x7f6ce8000000, offset: 0, size: 19464192
2026-07-28T08:40:56.975420-07:00 nimo-1 rpc-server[2723756]: [set_tensor] buffer: 0x55c715572a40, data: 0x7f6ce9290000, offset: 0, size: 3244032
2026-07-28T08:40:56.978028-07:00 nimo-1 rpc-server[2723756]: [set_tensor] buffer: 0x55c715572a40, data: 0x7f6ce95a8000, offset: 0, size: 3244032
2026-07-28T08:40:57.014738-07:00 nimo-1 rpc-server[2723756]: [set_tensor] buffer: 0x55c715572a40, data: 0x7f6ce98c0000, offset: 0, size: 19464192
2026-07-28T08:40:57.015605-07:00 nimo-1 rpc-server[2723756]: [set_tensor] buffer: 0x55c715572a40, data: 0x7f6ceab50000, offset: 0, size: 12288
2026-07-28T08:40:57.015633-07:00 nimo-1 rpc-server[2723756]: [set_tensor] buffer: 0x55c715572a40, data: 0x7f6ceab53000, offset: 0, size: 24576
2026-07-28T08:40:57.015633-07:00 nimo-1 rpc-server[2723756]: [set_tensor] buffer: 0x55c715572a40, data: 0x7f6ceab59000, offset: 0, size: 4096
2026-07-28T08:40:57.015663-07:00 nimo-1 rpc-server[2723756]: [set_tensor] buffer: 0x55c715572a40, data: 0x7f6ceab5a000, offset: 0, size: 12288
2026-07-28T08:40:57.016673-07:00 nimo-1 rpc-server[2723756]: [set_tensor] buffer: 0x55c715572a40, data: 0x7f6ceab5d000, offset: 0, size: 2359296
2026-07-28T08:40:59.114803-07:00 nimo-1 rpc-server[2723756]: [set_tensor] buffer: 0x55c715572a40, data: 0x7f6cead9d000, offset: 0, size: 934281216
2026-07-28T08:41:01.106531-07:00 nimo-1 rpc-server[2723756]: [set_tensor] buffer: 0x55c715572a40, data: 0x7f6d2289d000, offset: 0, size: 934281216
2026-07-28T08:41:03.067321-07:00 nimo-1 rpc-server[2723756]: [set_tensor] buffer: 0x55c715572a40, data: 0x7f6d5a39d000, offset: 0, size: 934281216
2026-07-28T08:41:03.083616-07:00 nimo-1 rpc-server[2723756]: [set_tensor] buffer: 0x55c715572a40, data: 0x7f6d91e9d000, offset: 0, size: 768
2026-07-28T08:41:03.113827-07:00 nimo-1 rpc-server[2723756]: [set_tensor] buffer: 0x55c715572a40, data: 0x7f6d91e9d300, offset: 0, size: 19464192
2026-07-28T08:41:03.116432-07:00 nimo-1 rpc-server[2723756]: [set_tensor] buffer: 0x55c715572a40, data: 0x7f6d9312d300, offset: 0, size: 3244032
2026-07-28T08:41:03.119086-07:00 nimo-1 rpc-server[2723756]: [set_tensor] buffer: 0x55c715572a40, data: 0x7f6d93445300, offset: 0, size: 3244032
2026-07-28T08:41:03.155586-07:00 nimo-1 rpc-server[2723756]: [set_tensor] buffer: 0x55c715572a40, data: 0x7f6d9375d300, offset: 0, size: 19464192
2026-07-28T08:41:03.156589-07:00 nimo-1 rpc-server[2723756]: [set_tensor] buffer: 0x55c715572a40, data: 0x7f6d949ed300, offset: 0, size: 12288
2026-07-28T08:41:03.156613-07:00 nimo-1 rpc-server[2723756]: [set_tensor] buffer: 0x55c715572a40, data: 0x7f6d949f0300, offset: 0, size: 24576
2026-07-28T08:41:03.156613-07:00 nimo-1 rpc-server[2723756]: [set_tensor] buffer: 0x55c715572a40, data: 0x7f6d949f6300, offset: 0, size: 4096
2026-07-28T08:41:03.156641-07:00 nimo-1 rpc-server[2723756]: [set_tensor] buffer: 0x55c715572a40, data: 0x7f6d949f7300, offset: 0, size: 12288
2026-07-28T08:41:03.157682-07:00 nimo-1 rpc-server[2723756]: [set_tensor] buffer: 0x55c715572a40, data: 0x7f6d949fa300, offset: 0, size: 2359296
2026-07-28T08:41:05.122417-07:00 nimo-1 rpc-server[2723756]: [set_tensor] buffer: 0x55c715572a40, data: 0x7f6d94c3a300, offset: 0, size: 934281216
2026-07-28T08:41:07.044680-07:00 nimo-1 rpc-server[2723756]: [set_tensor] buffer: 0x55c715572a40, data: 0x7f6dcc73a300, offset: 0, size: 934281216
2026-07-28T08:41:08.948562-07:00 nimo-1 rpc-server[2723756]: [set_tensor] buffer: 0x55c715572a40, data: 0x7f6e0423a300, offset: 0, size: 934281216
2026-07-28T08:41:08.964662-07:00 nimo-1 rpc-server[2723756]: [set_tensor] buffer: 0x55c715572a40, data: 0x7f6e3bd3a300, offset: 0, size: 768
2026-07-28T08:41:08.989614-07:00 nimo-1 rpc-server[2723756]: [set_tensor] buffer: 0x55c715572a40, data: 0x7f6e3bd3a600, offset: 0, size: 19464192
2026-07-28T08:41:08.992174-07:00 nimo-1 rpc-server[2723756]: [set_tensor] buffer: 0x55c715572a40, data: 0x7f6e3cfca600, offset: 0, size: 3244032
2026-07-28T08:41:08.994763-07:00 nimo-1 rpc-server[2723756]: [set_tensor] buffer: 0x55c715572a40, data: 0x7f6e3d2e2600, offset: 0, size: 3244032
2026-07-28T08:41:09.029353-07:00 nimo-1 rpc-server[2723756]: [set_tensor] buffer: 0x55c715572a40, data: 0x7f6e3d5fa600, offset: 0, size: 19464192
2026-07-28T08:41:09.030445-07:00 nimo-1 rpc-server[2723756]: [set_tensor] buffer: 0x55c715572a40, data: 0x7f6e3e88a600, offset: 0, size: 12288
2026-07-28T08:41:09.030482-07:00 nimo-1 rpc-server[2723756]: [set_tensor] buffer: 0x55c715572a40, data: 0x7f6e3e88d600, offset: 0, size: 24576
2026-07-28T08:41:09.030502-07:00 nimo-1 rpc-server[2723756]: [set_tensor] buffer: 0x55c715572a40, data: 0x7f6e3e893600, offset: 0, size: 4096
2026-07-28T08:41:09.030530-07:00 nimo-1 rpc-server[2723756]: [set_tensor] buffer: 0x55c715572a40, data: 0x7f6e3e894600, offset: 0, size: 12288
2026-07-28T08:41:09.031266-07:00 nimo-1 rpc-server[2723756]: [set_tensor] buffer: 0x55c715572a40, data: 0x7f6e3e897600, offset: 0, size: 2359296
2026-07-28T08:41:10.954394-07:00 nimo-1 rpc-server[2723756]: [set_tensor] buffer: 0x55c715572a40, data: 0x7f6e3ead7600, offset: 0, size: 934281216
2026-07-28T08:41:12.840428-07:00 nimo-1 rpc-server[2723756]: [set_tensor] buffer: 0x55c715572a40, data: 0x7f6e765d7600, offset: 0, size: 934281216
2026-07-28T08:41:14.719995-07:00 nimo-1 rpc-server[2723756]: [set_tensor] buffer: 0x55c715572a40, data: 0x7f6eae0d7600, offset: 0, size: 934281216
2026-07-28T08:41:14.737654-07:00 nimo-1 rpc-server[2723756]: [set_tensor] buffer: 0x55c715572a40, data: 0x7f6ee5bd7600, offset: 0, size: 768
2026-07-28T08:41:14.759631-07:00 nimo-1 rpc-server[2723756]: [set_tensor] buffer: 0x55c715572a40, data: 0x7f6ee5bd7900, offset: 0, size: 19464192
2026-07-28T08:41:14.762321-07:00 nimo-1 rpc-server[2723756]: [set_tensor] buffer: 0x55c715572a40, data: 0x7f6ee6e67900, offset: 0, size: 3244032
2026-07-28T08:41:14.765036-07:00 nimo-1 rpc-server[2723756]: [set_tensor] buffer: 0x55c715572a40, data: 0x7f6ee717f900, offset: 0, size: 3244032
