2026-07-28T17:33:03.796214-07:00 nimo-1 rpc-server[2894012]: ggml_rocm_init: found 1 ROCm devices (Total VRAM: 126976 MiB):
2026-07-28T17:33:03.796214-07:00 nimo-1 rpc-server[2894012]:   Device 0: AMD Radeon 8060S Graphics, gfx1151 (0x1151), VMM: no, Wave Size: 32, VRAM: 126976 MiB
2026-07-28T17:33:03.797255-07:00 nimo-1 rpc-server[2894012]: !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
2026-07-28T17:33:03.797255-07:00 nimo-1 rpc-server[2894012]: WARNING: Host ('10.44.0.1') is != '127.0.0.1'
2026-07-28T17:33:03.797255-07:00 nimo-1 rpc-server[2894012]:          Never expose the RPC server to an open network!
2026-07-28T17:33:03.797255-07:00 nimo-1 rpc-server[2894012]:          This is an experimental feature and is not secure!
2026-07-28T17:33:03.797255-07:00 nimo-1 rpc-server[2894012]: !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
2026-07-28T17:33:03.797326-07:00 nimo-1 rpc-server[2894012]: ggml_backend_rocm_get_available_uma_memory: final available_memory_kb: 128422904
2026-07-28T17:33:04.193635-07:00 nimo-1 rpc-server[2894012]: Starting RPC server v4.0.1
2026-07-28T17:33:04.193635-07:00 nimo-1 rpc-server[2894012]:   endpoint       : 10.44.0.1:50248
2026-07-28T17:33:04.193635-07:00 nimo-1 rpc-server[2894012]:   local cache    : n/a
2026-07-28T17:33:04.193635-07:00 nimo-1 rpc-server[2894012]:   HaloFPX state  : enabled (canary)
2026-07-28T17:33:04.193635-07:00 nimo-1 rpc-server[2894012]: Devices:
2026-07-28T17:33:04.193635-07:00 nimo-1 rpc-server[2894012]:   ROCm0: AMD Radeon 8060S Graphics (126976 MiB, 125412 MiB free)
2026-07-28T17:33:04.193635-07:00 nimo-1 rpc-server[2894012]:   transport      : TCP
2026-07-28T17:33:04.193635-07:00 nimo-1 rpc-server[2894012]: Accepted client connection
2026-07-28T17:33:04.193635-07:00 nimo-1 rpc-server[2894012]: [hello] version: 4.0.1
2026-07-28T17:33:04.193852-07:00 nimo-1 rpc-server[2894012]: recv returned 0 (peer closed?)
2026-07-28T17:33:04.193852-07:00 nimo-1 rpc-server[2894012]: Client connection closed
2026-07-28T17:33:04.193886-07:00 nimo-1 rpc-server[2894012]: [~impl] closing socket 6
2026-07-28T17:33:04.434819-07:00 nimo-1 rpc-server[2894012]: Accepted client connection
2026-07-28T17:33:04.434819-07:00 nimo-1 rpc-server[2894012]: [hello] version: 4.0.1
2026-07-28T17:33:04.434909-07:00 nimo-1 rpc-server[2894012]: recv returned 0 (peer closed?)
2026-07-28T17:33:04.434909-07:00 nimo-1 rpc-server[2894012]: Client connection closed
2026-07-28T17:33:04.434909-07:00 nimo-1 rpc-server[2894012]: [~impl] closing socket 6
2026-07-28T17:33:04.436049-07:00 nimo-1 rpc-server[2894012]: Accepted client connection
2026-07-28T17:33:04.436049-07:00 nimo-1 rpc-server[2894012]: [hello] version: 4.0.1
2026-07-28T17:33:04.436309-07:00 nimo-1 rpc-server[2894012]: ggml_backend_rocm_get_available_uma_memory: final available_memory_kb: 128424612
2026-07-28T17:33:04.436309-07:00 nimo-1 rpc-server[2894012]: [get_device_memory] device: 0, free_mem: 131506802688, total_mem: 133143986176
2026-07-28T17:33:04.436519-07:00 nimo-1 rpc-server[2894012]: recv returned 0 (peer closed?)
2026-07-28T17:33:04.436519-07:00 nimo-1 rpc-server[2894012]: Client connection closed
2026-07-28T17:33:04.436519-07:00 nimo-1 rpc-server[2894012]: [~impl] closing socket 6
2026-07-28T17:33:06.637645-07:00 nimo-1 rpc-server[2894012]: Accepted client connection
2026-07-28T17:33:06.637645-07:00 nimo-1 rpc-server[2894012]: [hello] version: 4.0.1
2026-07-28T17:33:06.637901-07:00 nimo-1 rpc-server[2894012]: recv returned 0 (peer closed?)
2026-07-28T17:33:06.637901-07:00 nimo-1 rpc-server[2894012]: Client connection closed
2026-07-28T17:33:06.637901-07:00 nimo-1 rpc-server[2894012]: [~impl] closing socket 6
2026-07-28T17:33:06.683745-07:00 nimo-1 rpc-server[2894012]: Accepted client connection
2026-07-28T17:33:06.683745-07:00 nimo-1 rpc-server[2894012]: [hello] version: 4.0.1
2026-07-28T17:33:06.684018-07:00 nimo-1 rpc-server[2894012]: ggml_backend_rocm_get_available_uma_memory: final available_memory_kb: 128424088
2026-07-28T17:33:06.684018-07:00 nimo-1 rpc-server[2894012]: [get_device_memory] device: 0, free_mem: 131506266112, total_mem: 133143986176
2026-07-28T17:33:06.684212-07:00 nimo-1 rpc-server[2894012]: recv returned 0 (peer closed?)
2026-07-28T17:33:06.684212-07:00 nimo-1 rpc-server[2894012]: Client connection closed
2026-07-28T17:33:06.684212-07:00 nimo-1 rpc-server[2894012]: [~impl] closing socket 6
2026-07-28T17:33:06.789597-07:00 nimo-1 rpc-server[2894012]: Accepted client connection
2026-07-28T17:33:06.789597-07:00 nimo-1 rpc-server[2894012]: [hello] version: 4.0.1
2026-07-28T17:33:06.789694-07:00 nimo-1 rpc-server[2894012]: [get_alignment] device: 0, alignment: 128
2026-07-28T17:33:06.789759-07:00 nimo-1 rpc-server[2894012]: [get_max_size] device: 0, max_size: 18446744073709551615
2026-07-28T17:33:06.789795-07:00 nimo-1 rpc-server[2894012]: recv returned 0 (peer closed?)
2026-07-28T17:33:06.789795-07:00 nimo-1 rpc-server[2894012]: Client connection closed
2026-07-28T17:33:06.789795-07:00 nimo-1 rpc-server[2894012]: [~impl] closing socket 6
2026-07-28T17:33:12.668808-07:00 nimo-1 rpc-server[2894012]: Accepted client connection
2026-07-28T17:33:12.668808-07:00 nimo-1 rpc-server[2894012]: [hello] version: 4.0.1
2026-07-28T17:33:12.669026-07:00 nimo-1 rpc-server[2894012]: ggml_backend_rocm_get_available_uma_memory: final available_memory_kb: 128421256
2026-07-28T17:33:12.669026-07:00 nimo-1 rpc-server[2894012]: [get_device_memory] device: 0, free_mem: 131503366144, total_mem: 133143986176
2026-07-28T17:33:12.669026-07:00 nimo-1 rpc-server[2894012]: recv returned 0 (peer closed?)
2026-07-28T17:33:12.669026-07:00 nimo-1 rpc-server[2894012]: Client connection closed
2026-07-28T17:33:12.669026-07:00 nimo-1 rpc-server[2894012]: [~impl] closing socket 6
2026-07-28T17:33:12.669194-07:00 nimo-1 rpc-server[2894012]: Accepted client connection
2026-07-28T17:33:12.669194-07:00 nimo-1 rpc-server[2894012]: [hello] version: 4.0.1
2026-07-28T17:33:15.946161-07:00 nimo-1 rpc-server[2894012]: [alloc_buffer] device: 0, size: 80950550528 -> remote_ptr: 55d252336a30, remote_size: 80950550528
2026-07-28T17:33:15.946486-07:00 nimo-1 rpc-server[2894012]: [buffer_get_base] remote_ptr: 55d252336a30
2026-07-28T17:33:34.634818-07:00 nimo-1 rpc-server[2894012]: ggml_backend_rocm_get_available_uma_memory: final available_memory_kb: 49058160
2026-07-28T17:33:34.634818-07:00 nimo-1 rpc-server[2894012]: [get_device_memory] device: 0, free_mem: 50235555840, total_mem: 133143986176
2026-07-28T17:33:34.678864-07:00 nimo-1 rpc-server[2894012]: [set_tensor] buffer: 0x55d252336a30, data: 0x7ee8c4000000, offset: 0, size: 19464192
2026-07-28T17:33:34.697400-07:00 nimo-1 rpc-server[2894012]: [set_tensor] buffer: 0x55d252336a30, data: 0x7ee8c5290000, offset: 0, size: 3244032
2026-07-28T17:33:34.699850-07:00 nimo-1 rpc-server[2894012]: [set_tensor] buffer: 0x55d252336a30, data: 0x7ee8c55a8000, offset: 0, size: 3244032
2026-07-28T17:33:34.736385-07:00 nimo-1 rpc-server[2894012]: [set_tensor] buffer: 0x55d252336a30, data: 0x7ee8c58c0000, offset: 0, size: 19464192
2026-07-28T17:33:34.737509-07:00 nimo-1 rpc-server[2894012]: [set_tensor] buffer: 0x55d252336a30, data: 0x7ee8c6b50000, offset: 0, size: 12288
2026-07-28T17:33:34.737548-07:00 nimo-1 rpc-server[2894012]: [set_tensor] buffer: 0x55d252336a30, data: 0x7ee8c6b53000, offset: 0, size: 24576
2026-07-28T17:33:34.737608-07:00 nimo-1 rpc-server[2894012]: [set_tensor] buffer: 0x55d252336a30, data: 0x7ee8c6b59000, offset: 0, size: 4096
2026-07-28T17:33:34.737608-07:00 nimo-1 rpc-server[2894012]: [set_tensor] buffer: 0x55d252336a30, data: 0x7ee8c6b5a000, offset: 0, size: 12288
2026-07-28T17:33:34.738280-07:00 nimo-1 rpc-server[2894012]: [set_tensor] buffer: 0x55d252336a30, data: 0x7ee8c6b5d000, offset: 0, size: 2359296
2026-07-28T17:33:36.883870-07:00 nimo-1 rpc-server[2894012]: [set_tensor] buffer: 0x55d252336a30, data: 0x7ee8c6d9d000, offset: 0, size: 934281216
2026-07-28T17:33:38.956729-07:00 nimo-1 rpc-server[2894012]: [set_tensor] buffer: 0x55d252336a30, data: 0x7ee8fe89d000, offset: 0, size: 934281216
2026-07-28T17:33:40.907265-07:00 nimo-1 rpc-server[2894012]: [set_tensor] buffer: 0x55d252336a30, data: 0x7ee93639d000, offset: 0, size: 934281216
2026-07-28T17:33:40.923578-07:00 nimo-1 rpc-server[2894012]: [set_tensor] buffer: 0x55d252336a30, data: 0x7ee96de9d000, offset: 0, size: 768
2026-07-28T17:33:40.949149-07:00 nimo-1 rpc-server[2894012]: [set_tensor] buffer: 0x55d252336a30, data: 0x7ee96de9d300, offset: 0, size: 19464192
2026-07-28T17:33:40.951693-07:00 nimo-1 rpc-server[2894012]: [set_tensor] buffer: 0x55d252336a30, data: 0x7ee96f12d300, offset: 0, size: 3244032
2026-07-28T17:33:40.954280-07:00 nimo-1 rpc-server[2894012]: [set_tensor] buffer: 0x55d252336a30, data: 0x7ee96f445300, offset: 0, size: 3244032
2026-07-28T17:33:40.988761-07:00 nimo-1 rpc-server[2894012]: [set_tensor] buffer: 0x55d252336a30, data: 0x7ee96f75d300, offset: 0, size: 19464192
2026-07-28T17:33:40.989696-07:00 nimo-1 rpc-server[2894012]: [set_tensor] buffer: 0x55d252336a30, data: 0x7ee9709ed300, offset: 0, size: 12288
2026-07-28T17:33:40.989721-07:00 nimo-1 rpc-server[2894012]: [set_tensor] buffer: 0x55d252336a30, data: 0x7ee9709f0300, offset: 0, size: 24576
2026-07-28T17:33:40.989721-07:00 nimo-1 rpc-server[2894012]: [set_tensor] buffer: 0x55d252336a30, data: 0x7ee9709f6300, offset: 0, size: 4096
2026-07-28T17:33:40.989752-07:00 nimo-1 rpc-server[2894012]: [set_tensor] buffer: 0x55d252336a30, data: 0x7ee9709f7300, offset: 0, size: 12288
2026-07-28T17:33:40.990961-07:00 nimo-1 rpc-server[2894012]: [set_tensor] buffer: 0x55d252336a30, data: 0x7ee9709fa300, offset: 0, size: 2359296
2026-07-28T17:33:42.895604-07:00 nimo-1 rpc-server[2894012]: [set_tensor] buffer: 0x55d252336a30, data: 0x7ee970c3a300, offset: 0, size: 934281216
2026-07-28T17:33:44.773345-07:00 nimo-1 rpc-server[2894012]: [set_tensor] buffer: 0x55d252336a30, data: 0x7ee9a873a300, offset: 0, size: 934281216
2026-07-28T17:33:46.671612-07:00 nimo-1 rpc-server[2894012]: [set_tensor] buffer: 0x55d252336a30, data: 0x7ee9e023a300, offset: 0, size: 934281216
2026-07-28T17:33:46.687598-07:00 nimo-1 rpc-server[2894012]: [set_tensor] buffer: 0x55d252336a30, data: 0x7eea17d3a300, offset: 0, size: 768
2026-07-28T17:33:46.712314-07:00 nimo-1 rpc-server[2894012]: [set_tensor] buffer: 0x55d252336a30, data: 0x7eea17d3a600, offset: 0, size: 19464192
2026-07-28T17:33:46.714851-07:00 nimo-1 rpc-server[2894012]: [set_tensor] buffer: 0x55d252336a30, data: 0x7eea18fca600, offset: 0, size: 3244032
2026-07-28T17:33:46.717442-07:00 nimo-1 rpc-server[2894012]: [set_tensor] buffer: 0x55d252336a30, data: 0x7eea192e2600, offset: 0, size: 3244032
2026-07-28T17:33:46.752340-07:00 nimo-1 rpc-server[2894012]: [set_tensor] buffer: 0x55d252336a30, data: 0x7eea195fa600, offset: 0, size: 19464192
2026-07-28T17:33:46.753420-07:00 nimo-1 rpc-server[2894012]: [set_tensor] buffer: 0x55d252336a30, data: 0x7eea1a88a600, offset: 0, size: 12288
2026-07-28T17:33:46.753451-07:00 nimo-1 rpc-server[2894012]: [set_tensor] buffer: 0x55d252336a30, data: 0x7eea1a88d600, offset: 0, size: 24576
2026-07-28T17:33:46.753470-07:00 nimo-1 rpc-server[2894012]: [set_tensor] buffer: 0x55d252336a30, data: 0x7eea1a893600, offset: 0, size: 4096
2026-07-28T17:33:46.753500-07:00 nimo-1 rpc-server[2894012]: [set_tensor] buffer: 0x55d252336a30, data: 0x7eea1a894600, offset: 0, size: 12288
2026-07-28T17:33:46.754301-07:00 nimo-1 rpc-server[2894012]: [set_tensor] buffer: 0x55d252336a30, data: 0x7eea1a897600, offset: 0, size: 2359296
2026-07-28T17:33:48.686051-07:00 nimo-1 rpc-server[2894012]: [set_tensor] buffer: 0x55d252336a30, data: 0x7eea1aad7600, offset: 0, size: 934281216
2026-07-28T17:33:50.509465-07:00 nimo-1 rpc-server[2894012]: [set_tensor] buffer: 0x55d252336a30, data: 0x7eea525d7600, offset: 0, size: 934281216
2026-07-28T17:33:52.385972-07:00 nimo-1 rpc-server[2894012]: [set_tensor] buffer: 0x55d252336a30, data: 0x7eea8a0d7600, offset: 0, size: 934281216
2026-07-28T17:33:52.402659-07:00 nimo-1 rpc-server[2894012]: [set_tensor] buffer: 0x55d252336a30, data: 0x7eeac1bd7600, offset: 0, size: 768
2026-07-28T17:33:52.424372-07:00 nimo-1 rpc-server[2894012]: [set_tensor] buffer: 0x55d252336a30, data: 0x7eeac1bd7900, offset: 0, size: 19464192
2026-07-28T17:33:52.426925-07:00 nimo-1 rpc-server[2894012]: [set_tensor] buffer: 0x55d252336a30, data: 0x7eeac2e67900, offset: 0, size: 3244032
2026-07-28T17:33:52.429533-07:00 nimo-1 rpc-server[2894012]: [set_tensor] buffer: 0x55d252336a30, data: 0x7eeac317f900, offset: 0, size: 3244032
