2026-07-28T19:14:14.654098-07:00 nimo-1 rpc-server[2931468]: ggml_rocm_init: found 1 ROCm devices (Total VRAM: 126976 MiB):
2026-07-28T19:14:14.654098-07:00 nimo-1 rpc-server[2931468]:   Device 0: AMD Radeon 8060S Graphics, gfx1151 (0x1151), VMM: no, Wave Size: 32, VRAM: 126976 MiB
2026-07-28T19:14:14.655190-07:00 nimo-1 rpc-server[2931468]: !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
2026-07-28T19:14:14.655190-07:00 nimo-1 rpc-server[2931468]: WARNING: Host ('10.44.0.1') is != '127.0.0.1'
2026-07-28T19:14:14.655190-07:00 nimo-1 rpc-server[2931468]:          Never expose the RPC server to an open network!
2026-07-28T19:14:14.655190-07:00 nimo-1 rpc-server[2931468]:          This is an experimental feature and is not secure!
2026-07-28T19:14:14.655190-07:00 nimo-1 rpc-server[2931468]: !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
2026-07-28T19:14:14.655260-07:00 nimo-1 rpc-server[2931468]: ggml_backend_rocm_get_available_uma_memory: final available_memory_kb: 128467788
2026-07-28T19:14:14.981266-07:00 nimo-1 rpc-server[2931468]: Starting RPC server v4.0.1
2026-07-28T19:14:14.981266-07:00 nimo-1 rpc-server[2931468]:   endpoint       : 10.44.0.1:50248
2026-07-28T19:14:14.981266-07:00 nimo-1 rpc-server[2931468]:   local cache    : n/a
2026-07-28T19:14:14.981266-07:00 nimo-1 rpc-server[2931468]:   HaloFPX state  : enabled (canary)
2026-07-28T19:14:14.981266-07:00 nimo-1 rpc-server[2931468]: Devices:
2026-07-28T19:14:14.981266-07:00 nimo-1 rpc-server[2931468]:   ROCm0: AMD Radeon 8060S Graphics (126976 MiB, 125456 MiB free)
2026-07-28T19:14:14.981266-07:00 nimo-1 rpc-server[2931468]:   transport      : TCP
2026-07-28T19:14:14.981266-07:00 nimo-1 rpc-server[2931468]: Accepted client connection
2026-07-28T19:14:14.981370-07:00 nimo-1 rpc-server[2931468]: [hello] version: 4.0.1
2026-07-28T19:14:14.981493-07:00 nimo-1 rpc-server[2931468]: recv returned 0 (peer closed?)
2026-07-28T19:14:14.981493-07:00 nimo-1 rpc-server[2931468]: Client connection closed
2026-07-28T19:14:14.981493-07:00 nimo-1 rpc-server[2931468]: [~impl] closing socket 6
2026-07-28T19:14:15.234310-07:00 nimo-1 rpc-server[2931468]: Accepted client connection
2026-07-28T19:14:15.234310-07:00 nimo-1 rpc-server[2931468]: [hello] version: 4.0.1
2026-07-28T19:14:15.234403-07:00 nimo-1 rpc-server[2931468]: recv returned 0 (peer closed?)
2026-07-28T19:14:15.234403-07:00 nimo-1 rpc-server[2931468]: Client connection closed
2026-07-28T19:14:15.234403-07:00 nimo-1 rpc-server[2931468]: [~impl] closing socket 6
2026-07-28T19:14:15.235584-07:00 nimo-1 rpc-server[2931468]: Accepted client connection
2026-07-28T19:14:15.235584-07:00 nimo-1 rpc-server[2931468]: [hello] version: 4.0.1
2026-07-28T19:14:15.235964-07:00 nimo-1 rpc-server[2931468]: ggml_backend_rocm_get_available_uma_memory: final available_memory_kb: 128465456
2026-07-28T19:14:15.235964-07:00 nimo-1 rpc-server[2931468]: [get_device_memory] device: 0, free_mem: 131548626944, total_mem: 133143986176
2026-07-28T19:14:15.236100-07:00 nimo-1 rpc-server[2931468]: recv returned 0 (peer closed?)
2026-07-28T19:14:15.236100-07:00 nimo-1 rpc-server[2931468]: Client connection closed
2026-07-28T19:14:15.236100-07:00 nimo-1 rpc-server[2931468]: [~impl] closing socket 6
2026-07-28T19:14:17.453708-07:00 nimo-1 rpc-server[2931468]: Accepted client connection
2026-07-28T19:14:17.453708-07:00 nimo-1 rpc-server[2931468]: [hello] version: 4.0.1
2026-07-28T19:14:17.453909-07:00 nimo-1 rpc-server[2931468]: recv returned 0 (peer closed?)
2026-07-28T19:14:17.453909-07:00 nimo-1 rpc-server[2931468]: Client connection closed
2026-07-28T19:14:17.453909-07:00 nimo-1 rpc-server[2931468]: [~impl] closing socket 6
2026-07-28T19:14:17.501416-07:00 nimo-1 rpc-server[2931468]: Accepted client connection
2026-07-28T19:14:17.501416-07:00 nimo-1 rpc-server[2931468]: [hello] version: 4.0.1
2026-07-28T19:14:17.501732-07:00 nimo-1 rpc-server[2931468]: ggml_backend_rocm_get_available_uma_memory: final available_memory_kb: 128467236
2026-07-28T19:14:17.501732-07:00 nimo-1 rpc-server[2931468]: [get_device_memory] device: 0, free_mem: 131550449664, total_mem: 133143986176
2026-07-28T19:14:17.501843-07:00 nimo-1 rpc-server[2931468]: recv returned 0 (peer closed?)
2026-07-28T19:14:17.501843-07:00 nimo-1 rpc-server[2931468]: Client connection closed
2026-07-28T19:14:17.501843-07:00 nimo-1 rpc-server[2931468]: [~impl] closing socket 6
2026-07-28T19:14:17.610982-07:00 nimo-1 rpc-server[2931468]: Accepted client connection
2026-07-28T19:14:17.611006-07:00 nimo-1 rpc-server[2931468]: [hello] version: 4.0.1
2026-07-28T19:14:17.611111-07:00 nimo-1 rpc-server[2931468]: [get_alignment] device: 0, alignment: 128
2026-07-28T19:14:17.611153-07:00 nimo-1 rpc-server[2931468]: [get_max_size] device: 0, max_size: 18446744073709551615
2026-07-28T19:14:17.611208-07:00 nimo-1 rpc-server[2931468]: recv returned 0 (peer closed?)
2026-07-28T19:14:17.611208-07:00 nimo-1 rpc-server[2931468]: Client connection closed
2026-07-28T19:14:17.611208-07:00 nimo-1 rpc-server[2931468]: [~impl] closing socket 6
2026-07-28T19:14:28.520535-07:00 nimo-1 rpc-server[2931468]: Accepted client connection
2026-07-28T19:14:28.520535-07:00 nimo-1 rpc-server[2931468]: [hello] version: 4.0.1
2026-07-28T19:14:28.520772-07:00 nimo-1 rpc-server[2931468]: ggml_backend_rocm_get_available_uma_memory: final available_memory_kb: 128473072
2026-07-28T19:14:28.520772-07:00 nimo-1 rpc-server[2931468]: [get_device_memory] device: 0, free_mem: 131556425728, total_mem: 133143986176
2026-07-28T19:14:28.520871-07:00 nimo-1 rpc-server[2931468]: recv returned 0 (peer closed?)
2026-07-28T19:14:28.520871-07:00 nimo-1 rpc-server[2931468]: Client connection closed
2026-07-28T19:14:28.520871-07:00 nimo-1 rpc-server[2931468]: [~impl] closing socket 6
2026-07-28T19:14:28.521131-07:00 nimo-1 rpc-server[2931468]: Accepted client connection
2026-07-28T19:14:28.521131-07:00 nimo-1 rpc-server[2931468]: [hello] version: 4.0.1
2026-07-28T19:14:31.796771-07:00 nimo-1 rpc-server[2931468]: [alloc_buffer] device: 0, size: 80950550528 -> remote_ptr: 560c5c4bca30, remote_size: 80950550528
2026-07-28T19:14:31.797182-07:00 nimo-1 rpc-server[2931468]: [buffer_get_base] remote_ptr: 560c5c4bca30
2026-07-28T19:14:51.167512-07:00 nimo-1 rpc-server[2931468]: ggml_backend_rocm_get_available_uma_memory: final available_memory_kb: 49117336
2026-07-28T19:14:51.167512-07:00 nimo-1 rpc-server[2931468]: [get_device_memory] device: 0, free_mem: 50296152064, total_mem: 133143986176
2026-07-28T19:14:51.219182-07:00 nimo-1 rpc-server[2931468]: [set_tensor] buffer: 0x560c5c4bca30, data: 0x7fd930000000, offset: 0, size: 19464192
2026-07-28T19:14:51.239248-07:00 nimo-1 rpc-server[2931468]: [set_tensor] buffer: 0x560c5c4bca30, data: 0x7fd931290000, offset: 0, size: 3244032
2026-07-28T19:14:51.242366-07:00 nimo-1 rpc-server[2931468]: [set_tensor] buffer: 0x560c5c4bca30, data: 0x7fd9315a8000, offset: 0, size: 3244032
2026-07-28T19:14:51.280720-07:00 nimo-1 rpc-server[2931468]: [set_tensor] buffer: 0x560c5c4bca30, data: 0x7fd9318c0000, offset: 0, size: 19464192
2026-07-28T19:14:51.281849-07:00 nimo-1 rpc-server[2931468]: [set_tensor] buffer: 0x560c5c4bca30, data: 0x7fd932b50000, offset: 0, size: 12288
2026-07-28T19:14:51.281912-07:00 nimo-1 rpc-server[2931468]: [set_tensor] buffer: 0x560c5c4bca30, data: 0x7fd932b53000, offset: 0, size: 24576
2026-07-28T19:14:51.282019-07:00 nimo-1 rpc-server[2931468]: [set_tensor] buffer: 0x560c5c4bca30, data: 0x7fd932b59000, offset: 0, size: 4096
2026-07-28T19:14:51.282019-07:00 nimo-1 rpc-server[2931468]: [set_tensor] buffer: 0x560c5c4bca30, data: 0x7fd932b5a000, offset: 0, size: 12288
2026-07-28T19:14:51.283408-07:00 nimo-1 rpc-server[2931468]: [set_tensor] buffer: 0x560c5c4bca30, data: 0x7fd932b5d000, offset: 0, size: 2359296
2026-07-28T19:14:53.409754-07:00 nimo-1 rpc-server[2931468]: [set_tensor] buffer: 0x560c5c4bca30, data: 0x7fd932d9d000, offset: 0, size: 934281216
2026-07-28T19:14:55.488227-07:00 nimo-1 rpc-server[2931468]: [set_tensor] buffer: 0x560c5c4bca30, data: 0x7fd96a89d000, offset: 0, size: 934281216
2026-07-28T19:14:57.580100-07:00 nimo-1 rpc-server[2931468]: [set_tensor] buffer: 0x560c5c4bca30, data: 0x7fd9a239d000, offset: 0, size: 934281216
2026-07-28T19:14:57.599993-07:00 nimo-1 rpc-server[2931468]: [set_tensor] buffer: 0x560c5c4bca30, data: 0x7fd9d9e9d000, offset: 0, size: 768
2026-07-28T19:14:57.639395-07:00 nimo-1 rpc-server[2931468]: [set_tensor] buffer: 0x560c5c4bca30, data: 0x7fd9d9e9d300, offset: 0, size: 19464192
2026-07-28T19:14:57.642120-07:00 nimo-1 rpc-server[2931468]: [set_tensor] buffer: 0x560c5c4bca30, data: 0x7fd9db12d300, offset: 0, size: 3244032
2026-07-28T19:14:57.644904-07:00 nimo-1 rpc-server[2931468]: [set_tensor] buffer: 0x560c5c4bca30, data: 0x7fd9db445300, offset: 0, size: 3244032
2026-07-28T19:14:57.680884-07:00 nimo-1 rpc-server[2931468]: [set_tensor] buffer: 0x560c5c4bca30, data: 0x7fd9db75d300, offset: 0, size: 19464192
2026-07-28T19:14:57.681961-07:00 nimo-1 rpc-server[2931468]: [set_tensor] buffer: 0x560c5c4bca30, data: 0x7fd9dc9ed300, offset: 0, size: 12288
2026-07-28T19:14:57.681994-07:00 nimo-1 rpc-server[2931468]: [set_tensor] buffer: 0x560c5c4bca30, data: 0x7fd9dc9f0300, offset: 0, size: 24576
2026-07-28T19:14:57.682090-07:00 nimo-1 rpc-server[2931468]: [set_tensor] buffer: 0x560c5c4bca30, data: 0x7fd9dc9f6300, offset: 0, size: 4096
2026-07-28T19:14:57.682090-07:00 nimo-1 rpc-server[2931468]: [set_tensor] buffer: 0x560c5c4bca30, data: 0x7fd9dc9f7300, offset: 0, size: 12288
2026-07-28T19:14:57.683582-07:00 nimo-1 rpc-server[2931468]: [set_tensor] buffer: 0x560c5c4bca30, data: 0x7fd9dc9fa300, offset: 0, size: 2359296
2026-07-28T19:14:59.755254-07:00 nimo-1 rpc-server[2931468]: [set_tensor] buffer: 0x560c5c4bca30, data: 0x7fd9dcc3a300, offset: 0, size: 934281216
2026-07-28T19:15:01.816655-07:00 nimo-1 rpc-server[2931468]: [set_tensor] buffer: 0x560c5c4bca30, data: 0x7fda1473a300, offset: 0, size: 934281216
2026-07-28T19:15:03.911693-07:00 nimo-1 rpc-server[2931468]: [set_tensor] buffer: 0x560c5c4bca30, data: 0x7fda4c23a300, offset: 0, size: 934281216
2026-07-28T19:15:03.931056-07:00 nimo-1 rpc-server[2931468]: [set_tensor] buffer: 0x560c5c4bca30, data: 0x7fda83d3a300, offset: 0, size: 768
2026-07-28T19:15:03.971173-07:00 nimo-1 rpc-server[2931468]: [set_tensor] buffer: 0x560c5c4bca30, data: 0x7fda83d3a600, offset: 0, size: 19464192
2026-07-28T19:15:03.973929-07:00 nimo-1 rpc-server[2931468]: [set_tensor] buffer: 0x560c5c4bca30, data: 0x7fda84fca600, offset: 0, size: 3244032
2026-07-28T19:15:03.976695-07:00 nimo-1 rpc-server[2931468]: [set_tensor] buffer: 0x560c5c4bca30, data: 0x7fda852e2600, offset: 0, size: 3244032
2026-07-28T19:15:04.013986-07:00 nimo-1 rpc-server[2931468]: [set_tensor] buffer: 0x560c5c4bca30, data: 0x7fda855fa600, offset: 0, size: 19464192
2026-07-28T19:15:04.015063-07:00 nimo-1 rpc-server[2931468]: [set_tensor] buffer: 0x560c5c4bca30, data: 0x7fda8688a600, offset: 0, size: 12288
2026-07-28T19:15:04.015087-07:00 nimo-1 rpc-server[2931468]: [set_tensor] buffer: 0x560c5c4bca30, data: 0x7fda8688d600, offset: 0, size: 24576
2026-07-28T19:15:04.015165-07:00 nimo-1 rpc-server[2931468]: [set_tensor] buffer: 0x560c5c4bca30, data: 0x7fda86893600, offset: 0, size: 4096
2026-07-28T19:15:04.015165-07:00 nimo-1 rpc-server[2931468]: [set_tensor] buffer: 0x560c5c4bca30, data: 0x7fda86894600, offset: 0, size: 12288
2026-07-28T19:15:04.015975-07:00 nimo-1 rpc-server[2931468]: [set_tensor] buffer: 0x560c5c4bca30, data: 0x7fda86897600, offset: 0, size: 2359296
2026-07-28T19:15:06.087232-07:00 nimo-1 rpc-server[2931468]: [set_tensor] buffer: 0x560c5c4bca30, data: 0x7fda86ad7600, offset: 0, size: 934281216
2026-07-28T19:15:08.029840-07:00 nimo-1 rpc-server[2931468]: [set_tensor] buffer: 0x560c5c4bca30, data: 0x7fdabe5d7600, offset: 0, size: 934281216
2026-07-28T19:15:09.927126-07:00 nimo-1 rpc-server[2931468]: [set_tensor] buffer: 0x560c5c4bca30, data: 0x7fdaf60d7600, offset: 0, size: 934281216
2026-07-28T19:15:09.943434-07:00 nimo-1 rpc-server[2931468]: [set_tensor] buffer: 0x560c5c4bca30, data: 0x7fdb2dbd7600, offset: 0, size: 768
2026-07-28T19:15:09.965722-07:00 nimo-1 rpc-server[2931468]: [set_tensor] buffer: 0x560c5c4bca30, data: 0x7fdb2dbd7900, offset: 0, size: 19464192
2026-07-28T19:15:09.968268-07:00 nimo-1 rpc-server[2931468]: [set_tensor] buffer: 0x560c5c4bca30, data: 0x7fdb2ee67900, offset: 0, size: 3244032
