candidate_id,candidate_name,profile_id,profile_name,member,context_tokens,capacity_gib,weight_plan_gib,kv_q8_plan_gib,reserve_os_gib,reserve_runtime_gib,reserve_skew_gib,total_plan_gib,margin_gib,utilization,fit
qwen3-235b-a22b-2507,Qwen3-235B-A22B-Instruct-2507,uma-256-single,Single 256 GiB unified-memory host,host,32768,256.0,190.0,3.25,12.0,8.0,4.0,217.25,38.75,0.8486328125,True
qwen3-235b-a22b-2507,Qwen3-235B-A22B-Instruct-2507,rpc-2x128-uma,Two 128 GiB UMA RPC nodes,coordinator,32768,128.0,95.0,1.75,10.0,6.0,4.0,116.75,11.25,0.912109375,True
qwen3-235b-a22b-2507,Qwen3-235B-A22B-Instruct-2507,rpc-2x128-uma,Two 128 GiB UMA RPC nodes,worker,32768,128.0,95.0,1.5,8.0,6.0,4.0,114.5,13.5,0.89453125,True
qwen3-235b-a22b-2507,Qwen3-235B-A22B-Instruct-2507,local-3x96-gpu,"One host, 3 × 96 GiB accelerators",gpu0,32768,96.0,63.5,1.25,0.0,6.0,2.0,72.75,23.25,0.7578125,True
qwen3-235b-a22b-2507,Qwen3-235B-A22B-Instruct-2507,local-3x96-gpu,"One host, 3 × 96 GiB accelerators",gpu1,32768,96.0,63.25,1.0,0.0,4.0,2.0,70.25,25.75,0.7317708333333334,True
qwen3-235b-a22b-2507,Qwen3-235B-A22B-Instruct-2507,local-3x96-gpu,"One host, 3 × 96 GiB accelerators",gpu2,32768,96.0,63.25,1.0,0.0,4.0,2.0,70.25,25.75,0.7317708333333334,True
qwen3-235b-a22b-2507,Qwen3-235B-A22B-Instruct-2507,local-4x64-gpu,"One host, 4 × 64 GiB accelerators",gpu0,32768,64.0,47.5,1.0,0.0,6.0,2.0,56.5,7.5,0.8828125,True
qwen3-235b-a22b-2507,Qwen3-235B-A22B-Instruct-2507,local-4x64-gpu,"One host, 4 × 64 GiB accelerators",gpu1,32768,64.0,47.5,0.75,0.0,4.0,2.0,54.25,9.75,0.84765625,True
qwen3-235b-a22b-2507,Qwen3-235B-A22B-Instruct-2507,local-4x64-gpu,"One host, 4 × 64 GiB accelerators",gpu2,32768,64.0,47.5,0.75,0.0,4.0,2.0,54.25,9.75,0.84765625,True
qwen3-235b-a22b-2507,Qwen3-235B-A22B-Instruct-2507,local-4x64-gpu,"One host, 4 × 64 GiB accelerators",gpu3,32768,64.0,47.5,0.75,0.0,4.0,2.0,54.25,9.75,0.84765625,True
