package,version,license_field,integrity,scope,evidence_blob
@modelcontextprotocol/sdk,1.26.0,MIT,sha512-Y5RmPncpiDtTXDbLKswIJzTqu2hyBKxTNsgKqKclDbhIgg1wgtf1fRuvxgTnRfcnxtvvgbIEcqUOzZrJ6iSReg==,runtime direct,bf23307b82c2489a680e9da3f11efed455149246
highlight.js,11.11.1,BSD-3-Clause,sha512-Xwwo44whKBVCYoliBQwaPvtd/2tYFkRQtXDWj1nackaV2JPXx3L0+Jvd8/qCJ2p+ML0/XVkJ2q+Mr+UVdpJK5w==,runtime direct,bf23307b82c2489a680e9da3f11efed455149246
mode-watcher,1.1.0,MIT,sha512-mUT9RRGPDYenk59qJauN1rhsIMKBmWA3xMF+uRwE8MW/tjhaDSCCARqkSuDTq8vr4/2KcAxIGVjACxTjdk5C3g==,runtime direct,bf23307b82c2489a680e9da3f11efed455149246
pdfjs-dist,5.4.54,Apache-2.0,sha512-TBAiTfQw89gU/Z4LW98Vahzd2/LoCFprVGvGbTgFt+QCB1F+woyOPmNNVgLa6djX9Z9GGTnj7qE1UzpOVJiINw==,runtime direct,bf23307b82c2489a680e9da3f11efed455149246
rehype-highlight,7.0.2,MIT,sha512-k158pK7wdC2qL3M5NcZROZ2tR/l7zOzjxXd5VGdcfIyoijjQqpHd3JKtYSBDpDZ38UI2WJWuFAtkMDxmx5kstA==,runtime direct,bf23307b82c2489a680e9da3f11efed455149246
rehype-stringify,10.0.1,MIT,sha512-k9ecfXHmIPuFVI61B9DeLPN0qFHfawM6RsuX48hoqlaKSF61RskNjSm1lI8PhBEM0MRdLxVVm4WmTqJQccH9mA==,runtime direct,bf23307b82c2489a680e9da3f11efed455149246
remark,15.0.1,MIT,sha512-Eht5w30ruCXgFmxVUSlNWQ9iiimq07URKeFS3hNc8cUWy1llX4KDWfyEDZRycMc+znsN9Ux5/tJ/BFdgdOwA3A==,runtime direct,bf23307b82c2489a680e9da3f11efed455149246
remark-breaks,4.0.0,MIT,sha512-IjEjJOkH4FuJvHZVIW0QCDWxcG96kCq7An/KVH2NfJe6rKZU2AsHeB3OEjPNRxi4QC34Xdx7I2KGYn6IpT7gxQ==,runtime direct,bf23307b82c2489a680e9da3f11efed455149246
remark-gfm,4.0.1,MIT,sha512-1quofZ2RQ9EWdeN34S79+KExV1764+wCUGop5CPL1WGdD0ocPpu91lzPGbwWMECpEpd42kJGQwzRfyov9j4yNg==,runtime direct,bf23307b82c2489a680e9da3f11efed455149246
remark-html,16.0.1,MIT,sha512-B9JqA5i0qZe0Nsf49q3OXyGvyXuZFDzAP2iOFLEumymuYJITVpiH1IgsTEwTpdptDmZlMDMWeDmSawdaJIGCXQ==,runtime direct,bf23307b82c2489a680e9da3f11efed455149246
remark-rehype,11.1.2,MIT,sha512-Dh7l57ianaEoIpzbp0PC9UKAdCSVklD8E5Rpw7ETfbTl3FqcOOgq5q2LVDhgGCkaBv7p24JXikPdvhhmHvKMsw==,runtime direct,bf23307b82c2489a680e9da3f11efed455149246
svelte-sonner,1.0.5,MIT,sha512-9dpGPFqKb/QWudYqGnEz93vuY+NgCEvyNvxoCLMVGw6sDN/3oVeKV1xiEirW2E1N3vJEyj5imSBNOGltQHA7mg==,runtime direct,bf23307b82c2489a680e9da3f11efed455149246
unist-util-visit,5.0.0,MIT,sha512-MR04uvD+07cwl/yhVuVWAtw+3GOR/knlL55Nd/wAdblk27GCVt3lqpTivy/tkJcZoNPzTwS1Y+KMojlLDhoTzg==,runtime direct,bf23307b82c2489a680e9da3f11efed455149246
zod,4.2.1,MIT,sha512-0wZ1IRqGGhMP76gLqz8EyfBXKk0J2qo2+H3fi4mcUP/KtTocoX08nmIAHl1Z2kJIZbZee8KOpBCSNPRgauucjw==,runtime direct,bf23307b82c2489a680e9da3f11efed455149246
